"Time_ka","ecc_LA11"
50818,0.025234046
50819,0.02642316
50820,0.027597078
50821,0.028791678
50822,0.029917284
50823,0.031016483
50824,0.032215057
50825,0.033220923
50826,0.034329007
50827,0.035403962
50828,0.036397861
50829,0.037407988
50830,0.038406005
50831,0.039331991
50832,0.040241464
50833,0.041086383
50834,0.041947014
50835,0.042718024
50836,0.043423452
50837,0.044163823
50838,0.04481038
50839,0.045399565
50840,0.045965224
50841,0.046506353
50842,0.046950641
50843,0.047399693
50844,0.047756878
50845,0.048128228
50846,0.048370838
50847,0.04864924
50848,0.048859952
50849,0.048936691
50850,0.049094111
50851,0.049096536
50852,0.049074804
50853,0.048985481
50854,0.048825929
50855,0.048687136
50856,0.048350486
50857,0.048047605
50858,0.047740192
50859,0.047237737
50860,0.046797592
50861,0.046292117
50862,0.045667881
50863,0.045124647
50864,0.044378246
50865,0.043729914
50866,0.042935622
50867,0.04212059
50868,0.041329642
50869,0.040400687
50870,0.039489082
50871,0.038552284
50872,0.037545553
50873,0.036494863
50874,0.035420905
50875,0.034356032
50876,0.033195896
50877,0.032008716
50878,0.030876366
50879,0.029643179
50880,0.028423882
50881,0.027176469
50882,0.025964575
50883,0.024666582
50884,0.023441648
50885,0.02216785
50886,0.020926996
50887,0.019650625
50888,0.018381284
50889,0.017178564
50890,0.015867265
50891,0.014677314
50892,0.013486418
50893,0.012282818
50894,0.011184206
50895,0.010101849
50896,0.009143153
50897,0.008225209
50898,0.007469892
50899,0.006904214
50900,0.006523636
50901,0.006369658
50902,0.006461846
50903,0.006847558
50904,0.007314402
50905,0.007961258
50906,0.0087327
50907,0.009546219
50908,0.010376037
50909,0.011278034
50910,0.012176585
50911,0.013093194
50912,0.013963446
50913,0.014887655
50914,0.015794188
50915,0.016634732
50916,0.017507932
50917,0.018371792
50918,0.019189706
50919,0.019982858
50920,0.020800535
50921,0.021550777
50922,0.022300726
50923,0.022974248
50924,0.023731753
50925,0.024349575
50926,0.024991212
50927,0.025644758
50928,0.026206814
50929,0.026779507
50930,0.02732381
50931,0.027836476
50932,0.028305063
50933,0.028737266
50934,0.029190886
50935,0.029574408
50936,0.029876176
50937,0.030269772
50938,0.030541422
50939,0.03077787
50940,0.031055919
50941,0.031201615
50942,0.031429417
50943,0.031488897
50944,0.031606924
50945,0.031694414
50946,0.031659449
50947,0.031687243
50948,0.031650981
50949,0.03153071
50950,0.031462002
50951,0.031301383
50952,0.031124532
50953,0.030896174
50954,0.030636881
50955,0.030408766
50956,0.030014261
50957,0.029712339
50958,0.029349645
50959,0.028929749
50960,0.028485537
50961,0.028031928
50962,0.027547156
50963,0.027023326
50964,0.026440181
50965,0.025942389
50966,0.025313767
50967,0.024721978
50968,0.024152495
50969,0.023502801
50970,0.0229206
50971,0.022295352
50972,0.021717704
50973,0.021112062
50974,0.020533006
50975,0.020013441
50976,0.019506162
50977,0.019008149
50978,0.018592228
50979,0.018260525
50980,0.017905432
50981,0.017688753
50982,0.017551436
50983,0.017488391
50984,0.017475628
50985,0.017598144
50986,0.01782833
50987,0.018038584
50988,0.018441165
50989,0.018823773
50990,0.019352426
50991,0.019872895
50992,0.020451477
50993,0.021146185
50994,0.021796134
50995,0.022494195
50996,0.023264747
50997,0.024018381
50998,0.024775038
50999,0.025561593
51000,0.026364048
51001,0.027157529
51002,0.027918567
51003,0.028745207
51004,0.029486739
51005,0.030244
51006,0.030965464
51007,0.031708228
51008,0.032347051
51009,0.033024825
51010,0.033655367
51011,0.034263237
51012,0.034829662
51013,0.035355832
51014,0.035930801
51015,0.036324684
51016,0.036806508
51017,0.037251315
51018,0.037570275
51019,0.037958587
51020,0.038237026
51021,0.038534603
51022,0.038769757
51023,0.038926196
51024,0.039139859
51025,0.039238254
51026,0.039272674
51027,0.039399419
51028,0.039331231
51029,0.039327471
51030,0.03926244
51031,0.039147406
51032,0.039038202
51033,0.038822275
51034,0.038702801
51035,0.038425168
51036,0.038154295
51037,0.037917861
51038,0.037575617
51039,0.03721892
51040,0.036847048
51041,0.036414783
51042,0.035999469
51043,0.035443873
51044,0.034970926
51045,0.034388133
51046,0.03377257
51047,0.033149893
51048,0.032501342
51049,0.031772453
51050,0.031059898
51051,0.030315394
51052,0.029491152
51053,0.028689846
51054,0.02783017
51055,0.02699165
51056,0.026050261
51057,0.025125914
51058,0.024241133
51059,0.023220667
51060,0.022223573
51061,0.021242409
51062,0.020153657
51063,0.019068223
51064,0.017963731
51065,0.016774873
51066,0.015626628
51067,0.014343445
51068,0.013160673
51069,0.011861392
51070,0.010542292
51071,0.009316215
51072,0.007948689
51073,0.006661316
51074,0.005417548
51075,0.004234643
51076,0.003262633
51077,0.002794317
51078,0.003016566
51079,0.003860283
51080,0.005123233
51081,0.006399683
51082,0.007882973
51083,0.009355424
51084,0.010894292
51085,0.012444239
51086,0.013977606
51087,0.015608319
51088,0.017169572
51089,0.018739498
51090,0.020382284
51091,0.021929628
51092,0.023492917
51093,0.025099406
51094,0.026602406
51095,0.028148813
51096,0.029626664
51097,0.031138549
51098,0.03259175
51099,0.034003653
51100,0.035451972
51101,0.036854314
51102,0.038200117
51103,0.039544502
51104,0.040919139
51105,0.042133664
51106,0.04341255
51107,0.044632763
51108,0.045789685
51109,0.046939187
51110,0.047992415
51111,0.049088456
51112,0.050027307
51113,0.050981724
51114,0.051895859
51115,0.05268102
51116,0.053463801
51117,0.054200727
51118,0.054828078
51119,0.055462273
51120,0.05596032
51121,0.056547164
51122,0.056927034
51123,0.057306827
51124,0.057713655
51125,0.057931916
51126,0.058177211
51127,0.058349417
51128,0.058439803
51129,0.058527467
51130,0.058474736
51131,0.058440022
51132,0.058331759
51133,0.058082355
51134,0.057929906
51135,0.057589368
51136,0.057239403
51137,0.05686944
51138,0.056437297
51139,0.055930533
51140,0.055417561
51141,0.05488499
51142,0.054261981
51143,0.05362745
51144,0.052937778
51145,0.052269104
51146,0.051488396
51147,0.050706448
51148,0.049933397
51149,0.049054608
51150,0.048194086
51151,0.047282469
51152,0.046345743
51153,0.045344529
51154,0.04434565
51155,0.043316161
51156,0.042231222
51157,0.041114403
51158,0.040095117
51159,0.038895466
51160,0.037801635
51161,0.03668058
51162,0.03552327
51163,0.034398022
51164,0.033214608
51165,0.032100462
51166,0.030960627
51167,0.029759288
51168,0.028711878
51169,0.027525957
51170,0.026401891
51171,0.025351215
51172,0.02419944
51173,0.023160377
51174,0.022091361
51175,0.021097222
51176,0.02010316
51177,0.019184632
51178,0.018333104
51179,0.017576175
51180,0.016842679
51181,0.016295668
51182,0.015861314
51183,0.015481754
51184,0.015370742
51185,0.015357304
51186,0.015455249
51187,0.015820499
51188,0.016269192
51189,0.016831949
51190,0.017620986
51191,0.018412251
51192,0.019409806
51193,0.02039023
51194,0.021516608
51195,0.022692984
51196,0.023859519
51197,0.02512232
51198,0.026406666
51199,0.027659552
51200,0.028970876
51201,0.030302555
51202,0.031556098
51203,0.032873883
51204,0.034166953
51205,0.035430091
51206,0.036692183
51207,0.037931069
51208,0.039205782
51209,0.040415792
51210,0.041576474
51211,0.042882616
51212,0.043961516
51213,0.045157553
51214,0.046283962
51215,0.047352926
51216,0.048438043
51217,0.049427727
51218,0.050431554
51219,0.051347736
51220,0.052200331
51221,0.053095502
51222,0.053826438
51223,0.054538802
51224,0.055253129
51225,0.055819479
51226,0.056398463
51227,0.056868971
51228,0.057344644
51229,0.057754289
51230,0.058034504
51231,0.058408314
51232,0.058613928
51233,0.058801576
51234,0.058936675
51235,0.059020667
51236,0.059004375
51237,0.058978131
51238,0.058866934
51239,0.058689979
51240,0.058448374
51241,0.058146279
51242,0.057817243
51243,0.057342398
51244,0.056875034
51245,0.056387295
51246,0.055741957
51247,0.055135484
51248,0.05450686
51249,0.053748437
51250,0.053050634
51251,0.05219467
51252,0.051426902
51253,0.050526869
51254,0.049596835
51255,0.048704401
51256,0.047690732
51257,0.046659749
51258,0.045661342
51259,0.0445435
51260,0.043428925
51261,0.042278613
51262,0.041103464
51263,0.039904423
51264,0.038614245
51265,0.037439006
51266,0.036129963
51267,0.034834271
51268,0.033603709
51269,0.032278217
51270,0.031015988
51271,0.029703999
51272,0.028437675
51273,0.027158626
51274,0.025852063
51275,0.024587738
51276,0.023350789
51277,0.022016267
51278,0.020817285
51279,0.019567941
51280,0.018303886
51281,0.017124002
51282,0.015926258
51283,0.014753338
51284,0.013628766
51285,0.012547265
51286,0.011542986
51287,0.010600482
51288,0.00973529
51289,0.009083399
51290,0.008461486
51291,0.0080808
51292,0.007939563
51293,0.007877984
51294,0.008128482
51295,0.008554305
51296,0.009035939
51297,0.009765685
51298,0.010532011
51299,0.011386181
51300,0.012292945
51301,0.013276374
51302,0.014239741
51303,0.015276388
51304,0.016263698
51305,0.017326224
51306,0.018328016
51307,0.01931424
51308,0.020412257
51309,0.021335215
51310,0.02232604
51311,0.023349421
51312,0.024253472
51313,0.025195716
51314,0.026117851
51315,0.026985054
51316,0.027883706
51317,0.028669755
51318,0.029543343
51319,0.030342664
51320,0.031073218
51321,0.031920002
51322,0.03259955
51323,0.033338724
51324,0.034020202
51325,0.034679299
51326,0.035284156
51327,0.035848583
51328,0.036404975
51329,0.036911607
51330,0.037313271
51331,0.037767492
51332,0.038118949
51333,0.038427221
51334,0.03868748
51335,0.038950102
51336,0.039112851
51337,0.039256396
51338,0.039368411
51339,0.039437665
51340,0.039455504
51341,0.039408327
51342,0.039412566
51343,0.039230489
51344,0.039115461
51345,0.038946609
51346,0.038661046
51347,0.038406083
51348,0.038050429
51349,0.037683955
51350,0.037245173
51351,0.036731129
51352,0.036250928
51353,0.03566269
51354,0.035006658
51355,0.034426892
51356,0.033706284
51357,0.033001929
51358,0.032290088
51359,0.031517751
51360,0.03078919
51361,0.02992749
51362,0.029176605
51363,0.028329956
51364,0.027443022
51365,0.026610538
51366,0.025723711
51367,0.02479102
51368,0.023911776
51369,0.022963027
51370,0.022065851
51371,0.021083915
51372,0.020186053
51373,0.019292171
51374,0.018332379
51375,0.017517463
51376,0.016658935
51377,0.015864428
51378,0.015112204
51379,0.014394161
51380,0.013782026
51381,0.013176605
51382,0.012616432
51383,0.012242446
51384,0.011805555
51385,0.011519283
51386,0.011327083
51387,0.011187385
51388,0.011177507
51389,0.011175586
51390,0.011378971
51391,0.011584591
51392,0.011839816
51393,0.012264948
51394,0.012636496
51395,0.013130616
51396,0.013591042
51397,0.014116735
51398,0.014675458
51399,0.015150462
51400,0.015719129
51401,0.016272889
51402,0.016744523
51403,0.017294551
51404,0.01780681
51405,0.018269014
51406,0.018782185
51407,0.019207648
51408,0.019726584
51409,0.020124993
51410,0.020570003
51411,0.021048641
51412,0.021450029
51413,0.021835796
51414,0.022267106
51415,0.022615608
51416,0.022959308
51417,0.02326368
51418,0.023583439
51419,0.023824205
51420,0.024040217
51421,0.024295539
51422,0.02443557
51423,0.024592618
51424,0.024718882
51425,0.024820227
51426,0.024860273
51427,0.02491708
51428,0.024923633
51429,0.024933703
51430,0.024865436
51431,0.024814733
51432,0.024785867
51433,0.024585308
51434,0.024500161
51435,0.024328645
51436,0.024083834
51437,0.023878534
51438,0.023572911
51439,0.023279486
51440,0.022908903
51441,0.022500067
51442,0.022120296
51443,0.021613888
51444,0.021092274
51445,0.020630454
51446,0.019969407
51447,0.019408158
51448,0.018748982
51449,0.01809352
51450,0.017382981
51451,0.016633339
51452,0.015917426
51453,0.015093932
51454,0.014253243
51455,0.013446328
51456,0.012522847
51457,0.01162402
51458,0.010684377
51459,0.009720519
51460,0.008768935
51461,0.007704039
51462,0.006782034
51463,0.00577364
51464,0.004802041
51465,0.004000301
51466,0.003344689
51467,0.003074151
51468,0.003190302
51469,0.003775509
51470,0.004643525
51471,0.005567524
51472,0.006666987
51473,0.007754033
51474,0.008925818
51475,0.010086195
51476,0.011230896
51477,0.012468462
51478,0.01363684
51479,0.014797277
51480,0.016026498
51481,0.017193059
51482,0.018355311
51483,0.019549197
51484,0.020676671
51485,0.021873056
51486,0.022926572
51487,0.024083776
51488,0.025156493
51489,0.026157309
51490,0.027211985
51491,0.028193085
51492,0.029113986
51493,0.030045139
51494,0.030907952
51495,0.031787262
51496,0.032547188
51497,0.033339655
51498,0.034127204
51499,0.034762446
51500,0.035494378
51501,0.036120589
51502,0.036720894
51503,0.037288228
51504,0.037812653
51505,0.038307421
51506,0.038752551
51507,0.039124722
51508,0.039560383
51509,0.039831887
51510,0.040122706
51511,0.040426602
51512,0.040592073
51513,0.040786633
51514,0.04092545
51515,0.041042253
51516,0.04109634
51517,0.041124405
51518,0.0411573
51519,0.041130764
51520,0.041057295
51521,0.041004969
51522,0.040932285
51523,0.040735335
51524,0.040653474
51525,0.040438183
51526,0.04023561
51527,0.040002992
51528,0.039744688
51529,0.039470109
51530,0.039132573
51531,0.038802123
51532,0.038480795
51533,0.038031471
51534,0.037662565
51535,0.037239826
51536,0.036769872
51537,0.036318127
51538,0.035816429
51539,0.035358691
51540,0.034788796
51541,0.034275863
51542,0.033762698
51543,0.033154174
51544,0.032578238
51545,0.032045435
51546,0.031366998
