time,time,d13c,d18O
62.890121,62890.121,1.0020677,0.17883344
62.893906,62893.906,0.98068011,0.15633355
62.897692,62897.692,0.98438627,0.13128079
62.901478,62901.478,1.0113767,0.11480188
62.905263,62905.263,1.0316056,0.11629716
62.909049,62909.049,1.0248173,0.13409492
62.912835,62912.835,1.0056225,0.16271384
62.91662,62916.62,1.0037092,0.20000502
62.919144,62919.144,1.0214379,0.23455417
62.92293,62922.93,1.0368407,0.2469818
62.927977,62927.977,1.0287628,0.24322768
62.931763,62931.763,1.0007832,0.23832875
62.935549,62935.549,0.96878076,0.22655116
62.954477,62954.477,0.94493157,0.18918049
62.958716,62958.716,0.92726183,0.13260496
62.965577,62965.577,0.90567261,0.088744707
62.967292,62967.292,0.89092362,0.10576747
62.972437,62972.437,0.91232932,0.17497995
62.979298,62979.298,0.9886992,0.24301086
62.984444,62984.444,1.0845361,0.27344915
62.989589,62989.589,1.1476941,0.28151503
62.994734,62994.734,1.1535989,0.29128402
62.99988,62999.88,1.1345494,0.29081365
63.005025,63005.025,1.1237102,0.26354545
63.010171,63010.171,1.1354965,0.22663087
63.015316,63015.316,1.1555097,0.22360931
63.020462,63020.462,1.1736938,0.2520549
63.030753,63030.753,1.1802849,0.26017118
63.034183,63034.183,1.1722749,0.20476419
63.039329,63039.329,1.1497421,0.1182625
63.046189,63046.189,1.1220022,0.062303353
63.051335,63051.335,1.0993826,0.073080175
63.05648,63056.48,1.0792891,0.12094586
63.061626,63061.626,1.0649974,0.16877691
63.066771,63066.771,1.0669086,0.17961529
63.071917,63071.917,1.0909674,0.16917564
63.077062,63077.062,1.1243361,0.17934345
63.082208,63082.208,1.1492407,0.25000536
63.087353,63087.353,1.1613361,0.35319611
63.092498,63092.498,1.1646186,0.42902327
63.095929,63095.929,1.1538265,0.44744769
63.101074,63101.074,1.1309768,0.43560004
63.107935,63107.935,1.1063412,0.41934252
63.11308,63113.08,1.0870401,0.40669069
63.118226,63118.226,1.0617946,0.38735691
63.123371,63123.371,1.026258,0.35974839
63.128517,63128.517,0.99794644,0.33045235
63.133662,63133.662,0.99921024,0.30808339
63.138808,63138.808,1.0196381,0.29408985
63.143953,63143.953,1.0276043,0.28086245
63.149099,63149.099,0.99319875,0.26404315
63.154244,63154.244,0.93434983,0.24995743
63.15939,63159.39,0.89119041,0.27379557
63.16282,63162.82,0.90045315,0.33678776
63.167965,63167.965,0.94008112,0.39431912
63.174826,63174.826,0.9822076,0.39580816
63.179971,63179.971,1.0152889,0.35085499
63.185117,63185.117,1.0157579,0.30511713
63.190262,63190.262,0.98760611,0.30086258
63.195408,63195.408,0.95830613,0.32490563
63.200553,63200.553,0.93951231,0.33972332
63.205699,63205.699,0.94180536,0.33422977
63.209129,63209.129,0.94905156,0.3216764
63.21599,63215.99,0.93283355,0.30104649
63.221135,63221.135,0.87140334,0.26239094
63.224566,63224.566,0.79250711,0.22038427
63.229711,63229.711,0.74196851,0.19127505
63.236572,63236.572,0.74125916,0.16898136
63.24212,63242.12,0.76162606,0.15592587
63.248472,63248.472,0.77355599,0.15016453
63.254825,63254.825,0.76598847,0.1436587
63.261178,63261.178,0.76021248,0.12968914
63.267531,63267.531,0.77523875,0.11295868
63.273884,63273.884,0.82152146,0.10982856
63.280237,63280.237,0.88277322,0.13106714
63.286589,63286.589,0.9378925,0.17172359
63.292942,63292.942,0.97178471,0.20818214
63.299295,63299.295,0.98451859,0.22321391
63.30353,63303.53,0.97474176,0.20923579
63.309883,63309.883,0.94582158,0.17740694
63.318353,63318.353,0.90648037,0.13861172
63.324706,63324.706,0.86020017,0.10941741
63.326824,63326.824,0.81351405,0.093442775
63.337412,63337.412,0.77972084,0.082149498
63.343765,63343.765,0.76163346,0.062024556
63.350255,63350.255,0.75268108,0.034086723
63.357018,63357.018,0.7520873,0.01159542
63.363782,63363.782,0.76844972,0.009467125
63.370546,63370.546,0.80337995,0.024570419
63.377309,63377.309,0.84562254,0.043092884
63.381818,63381.818,0.88273305,0.037690602
63.388582,63388.582,0.91581619,0.02516667
63.3976,63397.6,0.95393986,0.057929166
63.411127,63411.127,1.0059516,0.16214465
63.417891,63417.891,1.056435,0.27819854
63.424655,63424.655,1.0780617,0.32982728
63.431418,63431.418,1.064716,0.31892601
63.438182,63438.182,1.0435041,0.31300431
63.444946,63444.946,1.036931,0.33422011
63.451709,63451.709,1.0410953,0.33925611
63.458473,63458.473,1.0380849,0.29584268
63.465237,63465.237,1.0293895,0.24270944
63.469746,63469.746,1.0273722,0.24519736
63.476509,63476.509,1.0383437,0.28784388
63.485528,63485.528,1.0547141,0.28817332
63.494546,63494.546,1.0726228,0.18973994
63.499055,63499.055,1.0846485,0.053821694
63.505819,63505.819,1.0778606,-0.025471434
63.512582,63512.582,1.0412383,-0.0089478
63.532873,63532.873,0.99124992,0.043602623
63.539637,63539.637,0.95619905,0.077817366
63.548655,63548.655,0.95061338,0.094752967
63.55091,63550.91,0.96168178,0.12316664
63.557673,63557.673,0.97669959,0.15024689
63.566692,63566.692,0.98237389,0.15936361
63.573455,63573.455,0.9701125,0.14786816
63.580219,63580.219,0.93426239,0.12392121
63.586982,63586.982,0.86615425,0.08956942
63.589237,63589.237,0.78906852,0.048454773
63.602764,63602.764,0.74527633,0.011131017
63.607273,63607.273,0.76463079,-0.022879623
63.629819,63629.819,0.82868546,-0.050232757
63.636583,63636.583,0.90726185,-0.054641418
63.638837,63638.837,0.97338051,-0.022694729
63.654619,63654.619,1.0165427,0.027649539
63.663637,63663.637,1.0293463,0.065625392
63.668146,63668.146,1.0156714,0.066418156
63.67491,63674.91,0.98698258,0.049058229
63.681674,63681.674,0.96094435,0.048547212
63.690692,63690.692,0.94670033,0.077134192
63.695201,63695.201,0.94293422,0.10722022
63.701965,63701.965,0.93467677,0.1140349
63.708728,63708.728,0.91904795,0.08665777
63.717746,63717.746,0.91286516,0.048422288
63.720001,63720.001,0.93284577,0.025938986
63.726433,63726.433,0.973562,0.039673802
63.735008,63735.008,1.0186137,0.082636721
63.74144,63741.44,1.0572278,0.14025433
63.747872,63747.872,1.0881187,0.19569959
63.754304,63754.304,1.1091173,0.23930201
63.756448,63756.448,1.1220032,0.267223
63.767167,63767.167,1.1308167,0.25913861
63.771455,63771.455,1.1367786,0.22716753
63.780031,63780.031,1.1565999,0.21613541
63.786462,63786.462,1.1886542,0.25737733
63.792894,63792.894,1.2066576,0.31234103
63.80147,63801.47,1.1790258,0.32102111
63.803614,63803.614,1.1189029,0.25064602
63.814333,63814.333,1.0670975,0.15089139
63.827197,63827.197,1.0489683,0.085422456
63.831485,63831.485,1.0509493,0.054861043
63.837916,63837.916,1.0554628,0.027670996
63.844348,63844.348,1.0623529,0.019280527
63.85078,63850.78,1.0745437,0.032411072
63.857212,63857.212,1.079077,0.055656124
63.863643,63863.643,1.0701773,0.083251983
63.870075,63870.075,1.0605298,0.12214529
63.876507,63876.507,1.0648674,0.17279047
63.880795,63880.795,1.0903087,0.21968557
63.891514,63891.514,1.1151582,0.24527809
63.895802,63895.802,1.1109276,0.23912615
63.902234,63902.234,1.0593609,0.18358342
63.908666,63908.666,0.99300706,0.1041596
63.915097,63915.097,0.95958477,0.060752504
63.927961,63927.961,0.97268116,0.084224388
63.934393,63934.393,0.9986068,0.14329433
63.940824,63940.824,1.0141654,0.20464541
63.953688,63953.688,1.032575,0.26356882
63.962264,63962.264,1.066572,0.32232779
63.968695,63968.695,1.0922372,0.3580634
63.970839,63970.839,1.062798,0.34719902
63.981559,63981.559,1.0158941,0.30924317
63.985847,63985.847,1.0160778,0.28596458
63.987991,63987.991,1.0383217,0.28198096
63.99871,63998.71,1.0509565,0.26847529
64.005081,64005.081,1.0221018,0.23706402
64.011331,64011.331,0.96915203,0.1820208
64.017581,64017.581,0.93435001,0.13044037
64.023831,64023.831,0.95719182,0.1231707
64.027998,64027.998,1.0146687,0.178315
64.036331,64036.331,1.055266,0.24331792
64.044664,64044.664,1.038774,0.2530396
64.046748,64046.748,0.9890781,0.1867578
64.055081,64055.081,0.95080656,0.10499013
64.061331,64061.331,0.9460519,0.064456522
64.073831,64073.831,0.95718026,0.083823331
64.080081,64080.081,0.96923083,0.1233547
64.086331,64086.331,0.97458011,0.15216722
64.09258,64092.58,0.97858465,0.16605932
64.09883,64098.83,0.98575383,0.1820967
64.106997,64106.997,0.99763882,0.20129693
64.112997,64112.997,1.0102881,0.20556752
64.116997,64116.997,1.0199567,0.18466443
64.120997,64120.997,1.0211639,0.1513778
64.130997,64130.997,1.0261066,0.13811862
64.148997,64148.997,1.0575559,0.15682672
64.164998,64164.998,1.1178733,0.18958542
64.176998,64176.998,1.1807429,0.20155412
64.182998,64182.998,1.2259195,0.18905297
64.188998,64188.998,1.2445389,0.18090636
64.192998,64192.998,1.2413375,0.1813914
64.202998,64202.998,1.2164714,0.18398133
64.212998,64212.998,1.1768314,0.20129462
64.218998,64218.998,1.1488798,0.26213077
